tweet_bersih,label_sentimen,label_prediksi
suka sekolah offline sekolah ajar kadang kasih latih pas pulang tengoktengok handphone tugas jadwal ajar jarak jauh kesal betoolllllll,-1,positif
konteks sekolah ketemu offline,1,positif
sekolah daring gaib offline muncul,1,netral
panaas banget sekolah offline,-1,negatif
jahat banget jam sekolah huhu jadwal offline tt,0,netral
sekolah offline,0,netral
penjara luthfi hasan ishaaq ahmadiyah cikeusik pandeglang banten jawa barat indonesia juragan jual mobil bekas toyota kijang innova diesel sekolah offline tubuh manusia unduh salah,0,netral
orang kayak jgdulu sekolah offline guru materi lisan presentasi ikut mulut guru bicara catet otak ku cepat paham materi,1,positif
rela sekolah offline,1,positif
bismillah siap sekolah offline,1,positif
sekolah offline sekolah,0,netral
sekolah offline the best,1,positif
saya offline capek sekolah doang kira offline tinggal di kos,-1,negatif
rl enak langsung daftar les mandarin desember uji ikut ajar sekolah tugas ganggu anw sekolah sabtu les mandarin offline terima kasih saran,1,positif
sekolah offline sial murid saudara laki gurune,-1,negatif
sekolah daring bagi tugas sekolah daring x lipat x lipat sekolah offline kelas tugas pas kelas,0,netral
semenjak sekolah offline jarang aktif twitter hshsh,-1,negatif
min wishlist bgadang kantong mata hitam sekolah offline pakai masker jidat belang wkwk wishlist somethinc holyshield sunscreen comfort corrector serum spf somethinc game changer tripeptide eye concentrate gel,0,netral
aduh besok senin sekolah offline sekolah yoyakarta dom ku klaten nglaju deh,-1,negatif
sekolah offline mari babu sekolah,0,netral
sekolah offline biasa ajar,1,positif
yrl informasi kerja daerah sidoarjo jawa timur offline bu banget bantu orang tua by the way sekolah,0,netral
live lapor sekolah bina program kerja sekolah bina offline sekolah dasar negeri kedungbanteng tema lawan covid gera divisi abdi masyarakat hima kbmkm unsoed,0,netral
too niel sksksk sekolah offline,1,positif
kii sabar sekolah daring offline,0,netral
guru nyeremin takut mindep sekolah offline,-1,negatif
sekolah offline egk mniezz,0,netral
sekolah offline,0,netral
sarap mandi sekolah offline lupa,0,netral
tuhan besok sekolah agama offline presentasi,-1,negatif
zona hijau moga dom sekolah offline,1,positif
san pulang sekolah ajar offline,0,netral
malas banget sekolah offline,-1,negatif
banget sekolah offline sarap perut enak makan jam an istirahat,0,negatif
